Epoch,Time(s),Loss,F1
00398,0.6427,0.3049,0.2821
00399,0.6425,0.3023,0.2755
00400,0.6423,0.3006,0.2617
00401,0.6422,0.3011,0.2886
00402,0.6420,0.3028,0.2413
00403,0.6420,0.3046,0.2922
00404,0.6419,0.3015,0.2688
00405,0.6417,0.3004,0.2751
00406,0.6417,0.3011,0.2833
00407,0.6416,0.3013,0.2712
00408,0.6416,0.3010,0.2883
00409,0.6422,0.2999,0.2775
00410,0.6426,0.2997,0.2884
00411,0.6428,0.3002,0.2772
00412,0.6431,0.3006,0.2948
00413,0.6436,0.3001,0.2673
00414,0.6435,0.2997,0.3115
00415,0.6435,0.2999,0.2421
00416,0.6434,0.3014,0.3341
00417,0.6434,0.3025,0.2077
00418,0.6433,0.3062,0.3441
00419,0.6434,0.3038,0.2457
00420,0.6432,0.3029,0.2786
00421,0.6432,0.3008,0.3053
00422,0.6432,0.3010,0.2310
00423,0.6430,0.3020,0.2949
00424,0.6430,0.2992,0.2976
00425,0.6434,0.3000,0.2277
00426,0.6437,0.3027,0.3015
00427,0.6444,0.2991,0.3019
00428,0.6448,0.2986,0.2403
00429,0.6449,0.3009,0.3134
00430,0.6450,0.2997,0.2789
00431,0.6448,0.2989,0.2710
00432,0.6447,0.2993,0.3274
00433,0.6446,0.3002,0.2563
00434,0.6443,0.3004,0.3018
00435,0.6443,0.2985,0.2929
00436,0.6441,0.2980,0.2540
00437,0.6439,0.2989,0.3139
00438,0.6437,0.2984,0.2707
00439,0.6437,0.2975,0.2786
00440,0.6438,0.2972,0.3119
00441,0.6439,0.2977,0.2636
00442,0.6444,0.2979,0.3073
00443,0.6449,0.2972,0.2898
00444,0.6455,0.2967,0.2776
00445,0.6454,0.2969,0.3161
00446,0.6453,0.2973,0.2586
00447,0.6453,0.2983,0.3132
00448,0.6452,0.2995,0.2523
00449,0.6451,0.3060,0.2801
00450,0.6450,0.3067,0.3102
00451,0.6450,0.3045,0.2547
00452,0.6450,0.2994,0.2954
00453,0.6449,0.3000,0.2623
00454,0.6446,0.3060,0.2672
00455,0.6447,0.2998,0.3054
00456,0.6449,0.3000,0.2543
00457,0.6451,0.3045,0.2661
00458,0.6452,0.2978,0.3256
